year,region,10_12_public_science_humanities,10_12_public_technology,10_12_public_artistic,10_12_public_professional_CP,10_12_public_professional_AC,10_12_public_education,10_12_public_vocational,10_12_private_science_humanities,10_12_private_technology,10_12_private_artistic,10_12_private_professional_CP,10_12_private_professional_AC,10_12_private_education,10_12_private_vocational
2020 / 2021,Armamar,113.0,,,,,,,0.0,,,,,,
2020 / 2021,Carrazeda de Ansiães,68.0,,,46.0,,,,0.0,,,0.0,,,
2020 / 2021,Freixo de Espada à Cinta,,,,,,,,,,,,,,
2020 / 2021,Lamego,598.0,,,245.0,,,,40.0,,,20.0,,,
2020 / 2021,Mesão Frio,107.0,,,65.0,,,,0.0,,,0.0,,,
2020 / 2021,Moimenta da Beira,211.0,,,100.0,,,,0.0,,,86.0,,,
2020 / 2021,Murça,99.0,,,24.0,,,,0.0,,,97.0,,,
2020 / 2021,Penedono,,,,,,,,,,,,,,
2020 / 2021,Peso da Régua,332.0,,,294.0,,,,0.0,,,0.0,,,
2020 / 2021,Sabrosa,93.0,,,57.0,,,,0.0,,,0.0,,,
2020 / 2021,Santa Marta de Penaguião,,,,,,,,,,,,,,
2020 / 2021,São João da Pesqueira,114.0,,,,,,,0.0,,,,,,
2020 / 2021,Sernancelhe,,,,,,,,,,,,,,
2020 / 2021,Tabuaço,64.0,,,31.0,,,,0.0,,,0.0,,,
2020 / 2021,Tarouca,122.0,,,49.0,,,,0.0,,,0.0,,,
2020 / 2021,Torre de Moncorvo,98.0,,,33.0,,,,0.0,,,0.0,,,
2020 / 2021,Vila Nova de Foz Côa,80.0,,,,,,,0.0,,,,,,
2020 / 2021,Vila Real,1345.0,,,239.0,191.0,,,0.0,,,179.0,68.0,,
2020 / 2021,Terras de Trás-os-Montes,1679.0,,,598.0,86.0,,,0.0,,,344.0,188.0,,
2020 / 2021,Alfândega da Fé,65.0,,,,,,,0.0,,,,,,
2020 / 2021,Bragança,709.0,,,140.0,86.0,,,0.0,,,189.0,22.0,,
2020 / 2021,Macedo de Cavaleiros,236.0,,,83.0,,,,0.0,,,78.0,,,
2020 / 2021,Miranda do Douro,79.0,,,34.0,,,,0.0,,,0.0,,,
2020 / 2021,Mirandela,342.0,,,251.0,,,,0.0,,,77.0,,,
2020 / 2021,Mogadouro,98.0,,,52.0,,,,0.0,,,0.0,,,
2020 / 2021,Vila Flor,65.0,,,31.0,,,,0.0,,,0.0,,,
2020 / 2021,Vimioso,,,,,,,,,,,,,,
2020 / 2021,Vinhais,85.0,,,7.0,,,,0.0,,,0.0,,,
2020 / 2021,Centro,38940.0,,,14700.0,1536.0,,,2842.0,,,11938.0,1024.0,,
2020 / 2021,Oeste,5879.0,,,2461.0,,,,1139.0,,,2240.0,,,
2020 / 2021,Alcobaça,673.0,,,467.0,,,,291.0,,,220.0,,,
2020 / 2021,Alenquer,795.0,,,268.0,,,,0.0,,,73.0,,,
2020 / 2021,Arruda dos Vinhos,,,,,,,,,,,,,,
2020 / 2021,Bombarral,215.0,,,121.0,,,,0.0,,,0.0,,,
2020 / 2021,Cadaval,153.0,,,7.0,,,,0.0,,,0.0,,,
2020 / 2021,Caldas da Rainha,1243.0,,,524.0,,,,41.0,,,504.0,,,
2020 / 2021,Lourinhã,415.0,,,147.0,,,,0.0,,,0.0,,,
2020 / 2021,Nazaré,126.0,,,,,,,0.0,,,,,,
2020 / 2021,Óbidos,132.0,,,43.0,,,,0.0,,,0.0,,,
2020 / 2021,Peniche,420.0,,,148.0,,,,0.0,,,72.0,,,
2020 / 2021,Sobral de Monte Agraço,187.0,,,54.0,,,,0.0,,,0.0,,,
2020 / 2021,Torres Vedras,1520.0,,,682.0,,,,333.0,,,923.0,,,
2020 / 2021,Região de Aveiro,6336.0,,,2817.0,254.0,,,463.0,,,1590.0,243.0,,
2020 / 2021,Águeda,754.0,,,507.0,72.0,,,0.0,,,0.0,0.0,,
2020 / 2021,Albergaria-a-Velha,271.0,,,195.0,,,,86.0,,,300.0,,,
2020 / 2021,Anadia,425.0,,,206.0,,,,142.0,,,288.0,,,
2020 / 2021,Aveiro,2206.0,,,552.0,182.0,,,0.0,,,511.0,104.0,,
2020 / 2021,Estarreja,342.0,,,376.0,,,,0.0,,,0.0,,,
2020 / 2021,Ílhavo,500.0,,,266.0,,,,0.0,,,0.0,,,
2020 / 2021,Murtosa,118.0,,,,,,,0.0,,,,,,
2020 / 2021,Oliveira do Bairro,370.0,,,67.0,,,,0.0,,,122.0,,,
2020 / 2021,Ovar,872.0,,,334.0,,,,0.0,,,67.0,,,
2020 / 2021,Sever do Vouga,220.0,,,74.0,,,,0.0,,,254.0,,,
2020 / 2021,Vagos,258.0,,,240.0,,,,235.0,,,48.0,,,
2020 / 2021,Região de Coimbra,7536.0,,,2696.0,411.0,,,525.0,,,2069.0,395.0,,
2020 / 2021,Arganil,136.0,,,178.0,131.0,,,0.0,,,0.0,0.0,,
2020 / 2021,Cantanhede,530.0,,,32.0,,,,0.0,,,313.0,,,
2020 / 2021,Coimbra,3170.0,,,1356.0,280.0,,,463.0,,,430.0,395.0,,
2020 / 2021,Condeixa-a-Nova,300.0,,,60.0,,,,0.0,,,0.0,,,
2020 / 2021,Figueira da Foz,1203.0,,,438.0,,,,0.0,,,244.0,,,
2020 / 2021,Góis,,,,,,,,,,,,,,
2020 / 2021,Lousã,272.0,,,65.0,,,,0.0,,,161.0,,,
2020 / 2021,Mealhada,238.0,,,,,,,0.0,,,,,,
2020 / 2021,Mira,195.0,,,62.0,,,,0.0,,,0.0,,,
2020 / 2021,Miranda do Corvo,169.0,,,75.0,,,,0.0,,,0.0,,,
2020 / 2021,Montemor-o-Velho,207.0,,,70.0,,,,0.0,,,97.0,,,
2020 / 2021,Mortágua,127.0,,,63.0,,,,0.0,,,0.0,,,
2020 / 2021,Oliveira do Hospital,339.0,,,53.0,,,,0.0,,,216.0,,,
2020 / 2021,Pampilhosa da Serra,35.0,,,,,,,0.0,,,,,,
2020 / 2021,Penacova,160.0,,,46.0,,,,0.0,,,227.0,,,
2020 / 2021,Penela,,,,,,,,,,,,,,
2020 / 2021,Soure,214.0,,,71.0,,,,62.0,,,0.0,,,
2020 / 2021,Tábua,143.0,,,78.0,,,,0.0,,,47.0,,,
2020 / 2021,Vila Nova de Poiares,98.0,,,49.0,,,,0.0,,,0.0,,,
2020 / 2021,Região de Leiria,5168.0,,,1663.0,162.0,,,286.0,,,1974.0,216.0,,
2020 / 2021,Alvaiázere,82.0,,,,,,,0.0,,,,,,
2020 / 2021,Ansião,238.0,,,42.0,,,,0.0,,,231.0,,,
2020 / 2021,Batalha,227.0,,,111.0,,,,0.0,,,0.0,,,
2020 / 2021,Castanheira de Pêra,,,,,,,,,,,,,,
2020 / 2021,Figueiró dos Vinhos,104.0,,,,,,,0.0,,,,,,
2020 / 2021,Leiria,2524.0,,,732.0,162.0,,,22.0,,,443.0,192.0,,
2020 / 2021,Marinha Grande,885.0,,,388.0,,,,52.0,,,214.0,,,
2020 / 2021,Pedrógão Grande,,,,,,,,,,,,,,
2020 / 2021,Pombal,782.0,,,292.0,,,,212.0,,,509.0,,,
2020 / 2021,Porto de Mós,326.0,,,98.0,,,,0.0,,,355.0,,,
2020 / 2021,Viseu Dão Lafões,5020.0,,,1900.0,327.0,,,0.0,,,1203.0,0.0,,
2020 / 2021,Aguiar da Beira,112.0,,,22.0,,,,0.0,,,0.0,,,
2020 / 2021,Carregal do Sal,130.0,,,64.0,,,,0.0,,,0.0,,,
2020 / 2021,Castro Daire,250.0,,,88.0,,,,0.0,,,67.0,,,
2020 / 2021,Mangualde,339.0,,,197.0,,,,0.0,,,0.0,,,
2020 / 2021,Nelas,190.0,,,151.0,,,,0.0,,,0.0,,,
2020 / 2021,Oliveira de Frades,154.0,,,54.0,,,,0.0,,,0.0,,,
2020 / 2021,Penalva do Castelo,129.0,,,71.0,,,,0.0,,,0.0,,,
2020 / 2021,Santa Comba Dão,194.0,,,66.0,,,,0.0,,,0.0,,,
2020 / 2021,São Pedro do Sul,262.0,,,131.0,,,,0.0,,,142.0,,,
2020 / 2021,Sátão,194.0,,,71.0,,,,0.0,,,0.0,,,
2020 / 2021,Tondela,442.0,,,120.0,,,,0.0,,,330.0,,,
2020 / 2021,Vila Nova de Paiva,72.0,,,37.0,,,,0.0,,,0.0,,,
2020 / 2021,Viseu,2427.0,,,758.0,327.0,,,0.0,,,491.0,0.0,,
2020 / 2021,Vouzela,125.0,,,70.0,,,,0.0,,,173.0,,,
2020 / 2021,Beira Baixa,1365.0,,,429.0,110.0,,,0.0,,,315.0,0.0,,
2020 / 2021,Castelo Branco,1040.0,,,389.0,110.0,,,0.0,,,231.0,0.0,,
2020 / 2021,Idanha-a-Nova,94.0,,,,,,,0.0,,,,,,
2020 / 2021,Oleiros,60.0,,,11.0,,,,0.0,,,0.0,,,
2020 / 2021,Penamacor,68.0,,,,,,,0.0,,,,,,
2020 / 2021,Proença-a-Nova,103.0,,,29.0,,,,0.0,,,0.0,,,
2020 / 2021,Vila Velha de Ródão,,,,,,,,,,,,,,
2020 / 2021,Médio Tejo,4189.0,,,1506.0,146.0,,,415.0,,,1256.0,0.0,,
2020 / 2021,Abrantes,776.0,,,316.0,,,,0.0,,,0.0,,,
2020 / 2021,Alcanena,234.0,,,97.0,,,,0.0,,,0.0,,,
2020 / 2021,Constância,85.0,,,38.0,,,,0.0,,,0.0,,,
2020 / 2021,Entroncamento,475.0,,,172.0,,,,0.0,,,149.0,,,
2020 / 2021,Ferreira do Zêzere,98.0,,,11.0,,,,0.0,,,0.0,,,
2020 / 2021,Mação,65.0,,,93.0,,,,0.0,,,0.0,,,
2020 / 2021,Ourém,433.0,,,187.0,,,,396.0,,,584.0,,,
2020 / 2021,Sardoal,57.0,,,9.0,,,,0.0,,,0.0,,,
2020 / 2021,Sertã,245.0,,,69.0,,,,19.0,,,162.0,,,
2020 / 2021,Tomar,805.0,,,309.0,146.0,,,0.0,,,116.0,0.0,,
2020 / 2021,Torres Novas,762.0,,,162.0,,,,0.0,,,245.0,,,
2020 / 2021,Vila de Rei,62.0,,,,,,,0.0,,,,,,
2020 / 2021,Vila Nova da Barquinha,92.0,,,43.0,,,,0.0,,,0.0,,,
2020 / 2021,Beiras e Serra da Estrela,3447.0,,,1228.0,126.0,,,14.0,,,1291.0,38.0,,
2020 / 2021,Almeida,73.0,,,22.0,,,,0.0,,,0.0,,,
2020 / 2021,Belmonte,50.0,,,11.0,,,,0.0,,,0.0,,,
2020 / 2021,Celorico da Beira,100.0,,,40.0,,,,0.0,,,0.0,,,
2020 / 2021,Covilhã,862.0,,,482.0,,,,0.0,,,98.0,,,
2020 / 2021,Figueira de Castelo Rodrigo,64.0,,,32.0,,,,0.0,,,0.0,,,
2020 / 2021,Fornos de Algodres,76.0,,,16.0,,,,0.0,,,0.0,,,
2020 / 2021,Fundão,387.0,,,201.0,,,,0.0,,,182.0,,,
2020 / 2021,Gouveia,170.0,,,52.0,,,,0.0,,,109.0,,,
2020 / 2021,Guarda,864.0,,,121.0,126.0,,,14.0,,,414.0,20.0,,
2020 / 2021,Manteigas,44.0,,,,,,,0.0,,,,,,
2020 / 2021,Mêda,55.0,,,,,,,0.0,,,,,,
2020 / 2021,Pinhel,130.0,,,48.0,,,,0.0,,,0.0,,,
2020 / 2021,Sabugal,124.0,,,44.0,,,,0.0,,,0.0,,,
2020 / 2021,Seia,304.0,,,159.0,,,,0.0,,,190.0,,,
2020 / 2021,Trancoso,144.0,,,,,,,0.0,,,,,,
2020 / 2021,Área Metropolitana de Lisboa,54570.0,6.0,1490.0,17575.0,3306.0,,,10283.0,0.0,9.0,13280.0,3119.0,,
2020 / 2021,Área Metropolitana de Lisboa,54570.0,6.0,1490.0,17575.0,3306.0,,,10283.0,0.0,9.0,13280.0,3119.0,,
2020 / 2021,Alcochete,525.0,,,191.0,,,,0.0,,,0.0,,,
2020 / 2021,Almada,3591.0,,,1488.0,,,,340.0,,,801.0,,,
2020 / 2021,Amadora,2137.0,,,1329.0,578.0,,,134.0,,,795.0,276.0,,
2020 / 2021,Barreiro,2338.0,,,665.0,,,,95.0,,,236.0,,,
2020 / 2021,Cascais,3854.0,,63.0,1402.0,330.0,,,2262.0,,0.0,336.0,0.0,,
2020 / 2021,Lisboa,11582.0,6.0,1427.0,3158.0,795.0,,,4706.0,0.0,9.0,7277.0,1773.0,,
2020 / 2021,Loures,2632.0,,,1172.0,,,,281.0,,,190.0,,,
2020 / 2021,Mafra,1549.0,,,445.0,,,,530.0,,,400.0,,,
2020 / 2021,Moita,654.0,,,346.0,,,,0.0,,,559.0,,,
2020 / 2021,Montijo,1017.0,,,223.0,,,,0.0,,,342.0,,,
2020 / 2021,Odivelas,2866.0,,,824.0,,,,205.0,,,0.0,,,
2020 / 2021,Oeiras,4388.0,,,355.0,,,,349.0,,,541.0,,,
2020 / 2021,Palmela,1297.0,,,327.0,,,,439.0,,,0.0,,,
2020 / 2021,Seixal,2810.0,,,946.0,442.0,,,400.0,,,217.0,0.0,,
2020 / 2021,Sesimbra,1067.0,,,283.0,,,,0.0,,,110.0,,,
2020 / 2021,Setúbal,2656.0,,,789.0,403.0,,,10.0,,,471.0,296.0,,
2020 / 2021,Sintra,6922.0,,,2315.0,279.0,,,475.0,,,716.0,279.0,,
2020 / 2021,Vila Franca de Xira,2685.0,,,1317.0,479.0,,,57.0,,,289.0,0.0,,
2020 / 2021,Alentejo,12996.0,,,4439.0,443.0,,,202.0,,,3014.0,387.0,,
2020 / 2021,Alentejo Litoral,1531.0,,,367.0,,,,122.0,,,583.0,,,
2020 / 2021,Alcácer do Sal,215.0,,,20.0,,,,0.0,,,0.0,,,
2020 / 2021,Grândola,270.0,,,145.0,,,,0.0,,,0.0,,,
2020 / 2021,Odemira,291.0,,,59.0,,,,122.0,,,327.0,,,
2020 / 2021,Santiago do Cacém,500.0,,,109.0,,,,0.0,,,0.0,,,
2020 / 2021,Sines,255.0,,,34.0,,,,0.0,,,256.0,,,
2020 / 2021,Baixo Alentejo,1964.0,,,817.0,128.0,,,0.0,,,632.0,31.0,,
2020 / 2021,Aljustrel,104.0,,,55.0,,,,0.0,,,0.0,,,
2020 / 2021,Almodôvar,101.0,,,43.0,,,,0.0,,,0.0,,,
2020 / 2021,Alvito,,,,,,,,,,,,,,
2020 / 2021,Barrancos,,,,,,,,,,,,,,
2020 / 2021,Beja,897.0,,,267.0,128.0,,,0.0,,,115.0,31.0,,
2020 / 2021,Castro Verde,143.0,,,59.0,,,,0.0,,,0.0,,,
2020 / 2021,Cuba,,,,,,,,,,,,,,
2020 / 2021,Ferreira do Alentejo,70.0,,,10.0,,,,0.0,,,0.0,,,
2020 / 2021,Mértola,91.0,,,54.0,,,,0.0,,,32.0,,,
2020 / 2021,Moura,286.0,,,68.0,,,,0.0,,,84.0,,,
2020 / 2021,Ourique,76.0,,,20.0,,,,0.0,,,0.0,,,
2020 / 2021,Serpa,196.0,,,241.0,,,,0.0,,,0.0,,,
2020 / 2021,Vidigueira,,,,,,,,,,,,,,
2020 / 2021,Lezíria do Tejo,4489.0,,,1372.0,105.0,,,0.0,,,1310.0,161.0,,
2020 / 2021,Almeirim,323.0,,,197.0,,,,0.0,,,0.0,,,
2020 / 2021,Alpiarça,88.0,,,68.0,,,,0.0,,,0.0,,,
2020 / 2021,Azambuja,323.0,,,77.0,,,,0.0,,,0.0,,,
2020 / 2021,Benavente,530.0,,,180.0,,,,0.0,,,0.0,,,
2020 / 2021,Cartaxo,440.0,,,135.0,,,,0.0,,,0.0,,,
2020 / 2021,Chamusca,120.0,,,15.0,,,,0.0,,,0.0,,,
2020 / 2021,Coruche,280.0,,,19.0,,,,0.0,,,147.0,,,
2020 / 2021,Golegã,97.0,,,,,,,0.0,,,,,,
2020 / 2021,Rio Maior,500.0,,,176.0,,,,0.0,,,139.0,,,
2020 / 2021,Salvaterra de Magos,371.0,,,156.0,,,,0.0,,,364.0,,,
2020 / 2021,Santarém,1417.0,,,349.0,105.0,,,0.0,,,660.0,161.0,,
2020 / 2021,Alto Alentejo,1828.0,,,1013.0,26.0,,,0.0,,,51.0,48.0,,
2020 / 2021,Alter do Chão,51.0,,,128.0,,,,0.0,,,0.0,,,
2020 / 2021,Arronches,,,,5.0,,,,,,,0.0,,,
2020 / 2021,Avis,,,,,,,,,,,,,,
2020 / 2021,Campo Maior,145.0,,,61.0,,,,0.0,,,0.0,,,
2020 / 2021,Castelo de Vide,,,,,,,,,,,,,,
2020 / 2021,Crato,,,,,,,,,,,,,,
2020 / 2021,Elvas,430.0,,,249.0,,,,0.0,,,0.0,,,
2020 / 2021,Fronteira,,,,,,,,,,,,,,
2020 / 2021,Gavião,,,,34.0,,,,,,,0.0,,,
2020 / 2021,Marvão,,,,,,,,,,,,,,
2020 / 2021,Monforte,,,,,,,,,,,,,,
2020 / 2021,Nisa,69.0,,,34.0,,,,0.0,,,0.0,,,
2020 / 2021,Ponte de Sor,358.0,,,103.0,,,,0.0,,,0.0,,,
2020 / 2021,Portalegre,775.0,,,279.0,26.0,,,0.0,,,0.0,0.0,,
2020 / 2021,Sousel,,,,120.0,,,,,,,0.0,,,
2020 / 2021,Alentejo Central,3184.0,,,870.0,184.0,,,80.0,,,438.0,147.0,,
2020 / 2021,Alandroal,,,,,,,,,,,,,,
2020 / 2021,Arraiolos,79.0,,,18.0,,,,0.0,,,0.0,,,
2020 / 2021,Borba,,,,,,,,,,,,,,
2020 / 2021,Estremoz,399.0,,,61.0,,,,0.0,,,0.0,,,
2020 / 2021,Évora,1296.0,,,407.0,184.0,,,80.0,,,438.0,62.0,,
2020 / 2021,Montemor-o-Novo,278.0,,,86.0,,,,0.0,,,0.0,,,
2020 / 2021,Mora,55.0,,,,,,,0.0,,,,,,
2020 / 2021,Mourão,,,,,,,,,,,,,,
2020 / 2021,Portel,,,,5.0,,,,,,,0.0,,,
2020 / 2021,Redondo,98.0,,,37.0,,,,0.0,,,0.0,,,
2020 / 2021,Reguengos de Monsaraz,250.0,,,97.0,,,,0.0,,,0.0,,,
2020 / 2021,Vendas Novas,327.0,,,66.0,,,,0.0,,,0.0,,,
2020 / 2021,Viana do Alentejo,132.0,,,29.0,,,,0.0,,,0.0,,,
2020 / 2021,Vila Viçosa,270.0,,,64.0,,,,0.0,,,0.0,,,
2020 / 2021,Algarve,8968.0,,49.0,5357.0,224.0,,,231.0,,0.0,282.0,166.0,,
2020 / 2021,Algarve,8968.0,,49.0,5357.0,224.0,,,231.0,,0.0,282.0,166.0,,
2020 / 2021,Albufeira,1014.0,,,558.0,,,,0.0,,,0.0,,,
2020 / 2021,Alcoutim,,,,,,,,,,,,,,
2020 / 2021,Aljezur,,,,,,,,,,,,,,
2020 / 2021,Castro Marim,,,,,,,,,,,,,,
2020 / 2021,Faro,1691.0,,49.0,895.0,45.0,,,0.0,,0.0,75.0,0.0,,
2020 / 2021,Lagoa,169.0,,,190.0,,,,69.0,,,0.0,,,
2020 / 2021,Lagos,770.0,,,564.0,,,,16.0,,,0.0,,,
2020 / 2021,Loulé,1288.0,,,764.0,,,,94.0,,,93.0,,,
2020 / 2021,Monchique,,,,,,,,,,,,,,
2020 / 2021,Olhão,752.0,,,440.0,,,,0.0,,,0.0,,,
2020 / 2021,Portimão,1471.0,,,979.0,179.0,,,0.0,,,114.0,166.0,,
2020 / 2021,São Brás de Alportel,209.0,,,96.0,,,,0.0,,,0.0,,,
2020 / 2021,Silves,532.0,,,394.0,,,,29.0,,,0.0,,,
2020 / 2021,Tavira,538.0,,,227.0,,,,0.0,,,0.0,,,
2020 / 2021,Vila do Bispo,,,,,,,,,,,,,,
2020 / 2021,Vila Real de Santo António,534.0,,,250.0,,,,0.0,,,0.0,,,
2020 / 2021,Região Autónoma dos Açores,4730.0,,,807.0,1021.0,,,98.0,,,1905.0,0.0,,
2020 / 2021,Região Autónoma dos Açores,4730.0,,,807.0,1021.0,,,98.0,,,1905.0,0.0,,
2020 / 2021,Região Autónoma dos Açores,4730.0,,,807.0,1021.0,,,98.0,,,1905.0,0.0,,
2020 / 2021,Angra do Heroísmo,244.0,,,,279.0,,,0.0,,,,0.0,,
2020 / 2021,Calheta,87.0,,,,11.0,,,0.0,,,,0.0,,
2020 / 2021,Corvo,17.0,,,,,,,0.0,,,,,,
2020 / 2021,Horta,332.0,,,,64.0,,,0.0,,,,0.0,,
2020 / 2021,Lagoa,270.0,,,130.0,25.0,,,0.0,,,56.0,0.0,,
2020 / 2021,Lajes das Flores,,,,,,,,,,,,,,
2020 / 2021,Lajes do Pico,76.0,,,,39.0,,,0.0,,,,0.0,,
2020 / 2021,Madalena,100.0,,,,10.0,,,0.0,,,,0.0,,
2020 / 2021,Nordeste,80.0,,,20.0,,,,0.0,,,49.0,,,
2020 / 2021,Ponta Delgada,1730.0,,,460.0,170.0,,,98.0,,,779.0,0.0,,
2020 / 2021,Povoação,141.0,,,,,,,0.0,,,,,,
2020 / 2021,Ribeira Grande,380.0,,,157.0,79.0,,,0.0,,,129.0,0.0,,
2020 / 2021,Santa Cruz da Graciosa,62.0,,,,43.0,,,0.0,,,,0.0,,
2020 / 2021,Santa Cruz das Flores,66.0,,,,18.0,,,0.0,,,,0.0,,
2020 / 2021,São Roque do Pico,68.0,,,,,,,0.0,,,,,,
2020 / 2021,Velas,80.0,,,,45.0,,,0.0,,,,0.0,,
2020 / 2021,Vila da Praia da Vitória,698.0,,,,130.0,,,0.0,,,,0.0,,
